student_number,course,birthdate,nationality,civil_status,gender,municipality,payment_status,balance,has_scholarship,number_of_units_enrolled,academic_probation_status,last_term_GWA
25-7211,Human Resource Management (BSBA‑HRM),2006-05-27,Filipino,Single,Male,Parañaque,Paid,0,False,15,,2.0
25-4266,Business Intelligence & Analytics (BSBA‑BIA),2003-03-16,Filipino,Single,Male,Navotas,With Balance,15498,False,15,,4.0
25-6096,Business Intelligence & Analytics (BSBA‑BIA),2004-10-22,Filipino,Single,Male,Makati,With Balance,17957,False,15,,3.5
25-2983,Cybersecurity (BSCSEC),2005-09-14,Filipino,Single,Female,Manila,With Balance,13458,False,24,,3.0
25-8532,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-12-17,Korean,Single,Female,Navotas,With Balance,18794,False,21,,2.0
25-2419,Human Resource Management (BSBA‑HRM),2003-08-19,Filipino,Single,Male,Malabon,Paid,0,False,18,,3.5
25-5581,Cybersecurity (BSCSEC),2004-09-01,Filipino,Single,Male,Valenzuela,With Balance,32629,False,24,,3.5
25-1282,Business Intelligence & Analytics (BSBA‑BIA),2006-12-08,Filipino,Single,Female,San Mateo,Paid,0,False,21,,3.5
25-6023,Human Resource Management (BSBA‑HRM),2003-06-04,Filipino,Single,Male,Caloocan,Paid,0,False,21,,2.0
25-5853,Business Solutions & Applications (BSBA‑BSAA),2004-01-23,Filipino,Single,Male,San Mateo,With Balance,30901,False,24,advising,3.0
25-8690,Information Systems (BS‑IS),2002-01-09,Filipino,Single,Male,Pasay,Paid,0,False,15,,2.0
25-5978,Business Intelligence & Analytics (BSBA‑BIA),2001-09-25,Filipino,Single,Male,Antipolo,With Balance,19743,False,24,,3.0
25-2625,Business Solutions & Applications (BSBA‑BSAA),2004-11-03,Filipino,Single,Male,Mandaluyong,Paid,0,True,24,,3.5
25-1534,Business Solutions & Applications (BSBA‑BSAA),2004-12-28,Filipino,Single,Female,Bacoor,With Balance,16482,False,24,advising,3.0
25-5352,Business Solutions & Applications (BSBA‑BSAA),2002-05-20,Filipino,Single,Female,Navotas,Paid,0,False,24,,3.0
25-9090,Information Systems (BS‑IS),2000-07-24,Filipino,Single,Male,San Juan,With Balance,28848,False,15,,3.0
25-5415,Cybersecurity (BSCSEC),2002-08-17,Filipino,Single,Male,Rodriguez,With Balance,12989,False,24,,3.5
25-2713,Business Solutions & Applications (BSBA‑BSAA),2007-05-22,Filipino,Single,Male,Navotas,Paid,0,True,21,,1.0
25-7622,Cybersecurity (BSCSEC),2000-11-28,Filipino,Single,Male,Antipolo,With Balance,30493,False,24,,4.0
25-9998,Business Solutions & Applications (BSBA‑BSAA),2007-12-16,Filipino,Married,Male,Mandaluyong,Paid,0,False,24,advising,3.5
25-2924,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-12-10,Filipino,Single,Female,Malabon,Paid,0,False,24,,3.0
25-3236,Business Intelligence & Analytics (BSBA‑BIA),2006-06-26,Filipino,Single,Female,Las Piñas,Paid,0,False,24,,3.5
25-8935,Human Resource Management (BSBA‑HRM),2006-08-11,Filipino,Married,Male,Rodriguez,With Balance,23460,False,15,,3.5
25-7246,Information Systems (BS‑IS),2002-08-02,Filipino,Single,Female,Taguig,Paid,0,False,24,advising,3.5
25-3529,Business Intelligence & Analytics (BSBA‑BIA),2004-06-20,Filipino,Single,Female,Imus,Paid,0,False,21,,2.0
25-8994,Cybersecurity (BSCSEC),2001-04-21,Filipino,Single,Male,Makati,Paid,0,False,15,,3.0
25-1474,Business Intelligence & Analytics (BSBA‑BIA),2000-05-12,Filipino,Single,Female,Rodriguez,Paid,0,False,18,monitoring,3.0
25-4945,Information Systems (BS‑IS),2002-04-15,Filipino,Single,Male,Navotas,Paid,0,False,18,monitoring,1.0
25-5901,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-08-28,Filipino,Married,Female,Taguig,Paid,0,False,21,,3.5
25-7484,Human Resource Management (BSBA‑HRM),1995-12-02,Filipino,Single,Female,San Juan,Paid,0,False,18,,3.0
25-3240,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-05-26,Filipino,Single,Male,Makati,Paid,0,False,24,,4.0
25-9837,Human Resource Management (BSBA‑HRM),2004-03-09,Filipino,Single,Female,Muntinlupa,Paid,0,False,15,advising,2.0
25-7511,Cybersecurity (BSCSEC),2006-01-09,Filipino,Single,Female,Rodriguez,Paid,0,False,21,advising,3.5
25-6374,Cybersecurity (BSCSEC),2001-11-27,Filipino,Single,Female,Taguig,With Balance,19973,False,24,advising,2.0
25-3222,Information Systems (BS‑IS),2006-10-24,Filipino,Single,Male,Malabon,With Balance,19166,False,15,,4.0
25-8285,Business Solutions & Applications (BSBA‑BSAA),2001-11-12,Filipino,Married,Female,Quezon City,Paid,0,False,15,,2.0
25-2501,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-01-26,Filipino,Married,Male,Makati,Paid,0,False,18,,4.0
25-3417,Cybersecurity (BSCSEC),1991-03-18,Filipino,Single,Male,Pasig,Paid,0,True,18,,4.0
25-5347,Business Intelligence & Analytics (BSBA‑BIA),2006-09-04,Filipino,Single,Female,Antipolo,Paid,0,False,18,,4.0
25-9543,Human Resource Management (BSBA‑HRM),2000-01-16,Filipino,Single,Male,Malabon,Paid,0,False,15,,4.0
25-3067,Human Resource Management (BSBA‑HRM),2005-07-20,Filipino,Single,Female,Taguig,Paid,0,False,18,,2.0
25-7779,Human Resource Management (BSBA‑HRM),2006-07-24,Filipino,Single,Female,Parañaque,Paid,0,False,24,advising,4.0
25-2582,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-09-02,Filipino,Single,Female,Imus,Paid,0,False,24,,3.0
25-5712,Cybersecurity (BSCSEC),2001-10-17,Filipino,Single,Male,Taguig,Paid,0,False,15,,3.0
25-8030,Cybersecurity (BSCSEC),2000-10-22,Filipino,Single,Male,Marikina,Paid,0,False,21,,4.0
25-3347,Cybersecurity (BSCSEC),2001-03-24,Filipino,Single,Male,Pasay,Paid,0,False,21,,3.5
25-2391,Business Intelligence & Analytics (BSBA‑BIA),2000-11-03,Filipino,Single,Female,Cainta,Paid,0,False,15,,4.0
25-8972,Cybersecurity (BSCSEC),2000-04-13,Vietnamese,Single,Male,Las Piñas,With Balance,35040,False,21,,4.0
25-9149,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-07-18,Filipino,Single,Female,Makati,With Balance,24294,False,15,,4.0
25-6129,Cybersecurity (BSCSEC),2006-12-21,Filipino,Single,Male,Muntinlupa,With Balance,25076,False,21,advising,4.0
25-7560,Cybersecurity (BSCSEC),2004-12-11,Filipino,Single,Male,Antipolo,Paid,0,False,18,,3.5
25-3419,Business Solutions & Applications (BSBA‑BSAA),2004-04-06,Filipino,Single,Male,Mandaluyong,Paid,0,False,24,,3.0
25-8354,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-11-11,Filipino,Single,Female,Bacoor,Paid,0,False,15,,4.0
25-8565,Information Systems (BS‑IS),2005-05-03,Filipino,Married,Male,Cainta,Paid,0,False,15,,2.0
25-4084,Human Resource Management (BSBA‑HRM),2002-01-15,Filipino,Single,Female,Makati,Paid,0,False,18,,1.0
25-9586,Cybersecurity (BSCSEC),2005-06-10,Filipino,Single,Male,Bacoor,Paid,0,False,15,,3.5
25-5128,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-06-03,Filipino,Single,Female,Las Piñas,Paid,0,False,24,restrictions,2.0
25-6072,Cybersecurity (BSCSEC),2005-03-22,Filipino,Single,Male,Bacoor,Paid,0,False,15,,4.0
25-4509,Human Resource Management (BSBA‑HRM),2007-04-08,American,Single,Female,Taguig,Paid,0,False,15,,2.0
25-3147,Cybersecurity (BSCSEC),2002-03-27,Filipino,Single,Male,Navotas,Paid,0,True,21,,4.0
25-8277,Cybersecurity (BSCSEC),2007-04-18,Filipino,Single,Female,Caloocan,With Balance,24437,False,24,,3.0
25-9239,Cybersecurity (BSCSEC),2002-04-26,Filipino,Single,Male,Bacoor,Paid,0,False,15,,3.0
25-3042,Human Resource Management (BSBA‑HRM),2002-05-15,Filipino,Single,Female,Makati,Paid,0,False,24,,2.0
25-7797,Business Intelligence & Analytics (BSBA‑BIA),2005-04-13,American,Single,Male,Muntinlupa,With Balance,31297,False,21,,4.0
25-5700,Information Systems (BS‑IS),2002-12-16,Filipino,Single,Male,Manila,With Balance,27983,False,24,monitoring,4.0
25-2996,Business Intelligence & Analytics (BSBA‑BIA),2007-02-04,Filipino,Single,Male,Bacoor,Paid,0,False,18,,4.0
25-6780,Business Solutions & Applications (BSBA‑BSAA),2002-11-22,Filipino,Married,Male,Antipolo,With Balance,26633,False,15,,3.5
25-7338,Human Resource Management (BSBA‑HRM),2000-06-26,Filipino,Single,Male,Rodriguez,Paid,0,False,15,,3.5
25-3868,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-11-06,Filipino,Single,Female,Quezon City,Paid,0,False,18,,3.5
25-6080,Cybersecurity (BSCSEC),2007-05-02,Filipino,Single,Female,Quezon City,Paid,0,False,15,,3.5
25-7553,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-06-06,Filipino,Single,Female,Makati,Paid,0,False,18,,3.5
25-2311,Human Resource Management (BSBA‑HRM),2004-08-20,Filipino,Single,Female,Parañaque,With Balance,39871,False,21,,3.5
25-1939,Business Intelligence & Analytics (BSBA‑BIA),2006-06-17,Filipino,Single,Male,Pasig,Paid,0,False,24,advising,4.0
25-7001,Human Resource Management (BSBA‑HRM),2000-10-05,Filipino,Single,Female,Navotas,Paid,0,False,21,,3.0
25-5089,Business Intelligence & Analytics (BSBA‑BIA),2002-08-17,Filipino,Single,Female,Marikina,Paid,0,False,21,,1.0
25-4279,Business Intelligence & Analytics (BSBA‑BIA),2001-08-06,Filipino,Single,Male,Imus,With Balance,31883,False,21,,3.0
25-5757,Human Resource Management (BSBA‑HRM),2002-06-17,Filipino,Married,Male,San Juan,Paid,0,False,21,,1.0
25-3126,Cybersecurity (BSCSEC),2001-05-13,American,Single,Female,Valenzuela,Paid,0,False,21,,3.5
25-9476,Human Resource Management (BSBA‑HRM),2002-03-14,Filipino,Single,Male,Antipolo,Paid,0,False,21,,4.0
25-9501,Human Resource Management (BSBA‑HRM),2004-04-21,Chinese,Single,Female,Cainta,Paid,0,False,18,,3.0
25-3804,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-10-02,Filipino,Single,Male,Bacoor,Paid,0,False,18,,3.5
25-1496,Information Systems (BS‑IS),2004-11-10,Filipino,Single,Female,Las Piñas,Paid,0,False,18,,3.5
25-4342,Human Resource Management (BSBA‑HRM),2005-12-11,Filipino,Single,Female,Pasig,Paid,0,False,15,,3.5
25-5382,Information Systems (BS‑IS),2001-01-10,Filipino,Single,Female,San Juan,With Balance,36656,False,21,,3.0
25-4110,Business Solutions & Applications (BSBA‑BSAA),2007-08-10,Filipino,Single,Female,Antipolo,Paid,0,False,21,monitoring,3.5
25-8710,Human Resource Management (BSBA‑HRM),2001-07-05,Filipino,Single,Female,Parañaque,Paid,0,True,15,,4.0
25-5728,Business Intelligence & Analytics (BSBA‑BIA),2007-09-09,Filipino,Single,Male,Pasig,Paid,0,False,21,,3.5
25-3363,Business Solutions & Applications (BSBA‑BSAA),2006-09-02,Filipino,Single,Female,Malabon,Paid,0,False,18,,3.0
25-3662,Information Systems (BS‑IS),2004-10-11,Filipino,Single,Female,Rodriguez,With Balance,22070,False,21,,1.0
25-6040,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-10-16,Filipino,Single,Male,Quezon City,Paid,0,False,24,restrictions,4.0
25-2800,Business Solutions & Applications (BSBA‑BSAA),2005-07-05,Filipino,Single,Female,Quezon City,Paid,0,False,21,,3.5
25-7173,Human Resource Management (BSBA‑HRM),2007-09-11,Filipino,Single,Female,Cainta,With Balance,19142,False,21,,1.0
25-5876,Human Resource Management (BSBA‑HRM),2007-06-16,Filipino,Single,Female,Las Piñas,Paid,0,False,24,,3.5
25-6654,Business Solutions & Applications (BSBA‑BSAA),2004-12-03,Filipino,Single,Female,Malabon,With Balance,18884,False,21,restrictions,3.0
25-4920,Business Solutions & Applications (BSBA‑BSAA),2003-11-08,Filipino,Single,Female,Taguig,Paid,0,False,18,,2.0
25-8793,Information Systems (BS‑IS),2004-06-10,Filipino,Single,Male,Bacoor,Paid,0,False,15,,4.0
25-3880,Business Intelligence & Analytics (BSBA‑BIA),2006-08-06,Filipino,Single,Female,Quezon City,Paid,0,True,15,,3.5
25-8444,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-03-28,Filipino,Single,Male,Muntinlupa,Paid,0,False,21,,4.0
25-6523,Human Resource Management (BSBA‑HRM),2003-03-20,Filipino,Single,Female,Antipolo,Paid,0,False,15,,4.0
25-6301,Business Solutions & Applications (BSBA‑BSAA),1993-04-15,Filipino,Single,Female,Rodriguez,Paid,0,False,21,,4.0
25-2936,Information Systems (BS‑IS),2006-11-17,Filipino,Single,Female,Taguig,With Balance,22043,False,18,,4.0
25-3509,Information Systems (BS‑IS),2005-07-23,Filipino,Single,Male,San Juan,Paid,0,False,15,,3.0
25-6927,Business Intelligence & Analytics (BSBA‑BIA),2001-01-27,Filipino,Single,Male,Mandaluyong,Paid,0,False,15,,3.0
25-9008,Business Intelligence & Analytics (BSBA‑BIA),2007-01-15,Filipino,Single,Male,San Mateo,With Balance,33700,False,15,,2.0
25-4570,Cybersecurity (BSCSEC),2006-06-23,Filipino,Married,Male,Malabon,Paid,0,True,24,,4.0
25-7887,Human Resource Management (BSBA‑HRM),2006-08-28,Filipino,Single,Male,Imus,With Balance,14357,False,21,restrictions,3.5
25-3086,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-01-10,Filipino,Single,Female,San Mateo,Paid,0,False,24,,3.5
25-2848,Business Intelligence & Analytics (BSBA‑BIA),2006-10-25,Filipino,Single,Male,Caloocan,Paid,0,True,15,,3.0
25-1797,Business Solutions & Applications (BSBA‑BSAA),2006-08-08,Filipino,Single,Male,Pasig,Paid,0,False,21,,3.0
25-6253,Business Solutions & Applications (BSBA‑BSAA),2002-11-17,Filipino,Single,Male,San Mateo,With Balance,39870,False,18,,3.5
25-9120,Business Intelligence & Analytics (BSBA‑BIA),2006-09-11,Filipino,Single,Female,Pasay,Paid,0,False,18,,3.5
25-3365,Information Systems (BS‑IS),2006-07-18,Filipino,Single,Female,Caloocan,Paid,0,False,24,,4.0
25-4120,Business Intelligence & Analytics (BSBA‑BIA),2000-02-07,Filipino,Single,Male,Malabon,With Balance,19934,False,15,,4.0
25-2922,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-04-23,Filipino,Single,Male,San Mateo,Paid,0,False,24,,3.5
25-5285,Human Resource Management (BSBA‑HRM),2007-08-04,Filipino,Single,Female,Caloocan,Paid,0,False,18,,4.0
25-7841,Human Resource Management (BSBA‑HRM),2005-04-13,Filipino,Single,Female,Marikina,Paid,0,False,24,,3.0
25-6770,Business Solutions & Applications (BSBA‑BSAA),2007-03-18,American,Single,Male,Makati,Paid,0,False,15,,2.0
25-4791,Business Intelligence & Analytics (BSBA‑BIA),2000-04-17,Filipino,Single,Female,Imus,Paid,0,False,24,restrictions,3.0
25-9777,Human Resource Management (BSBA‑HRM),2006-03-04,Filipino,Single,Male,Caloocan,Paid,0,False,21,,3.5
25-7112,Information Systems (BS‑IS),2003-12-08,Filipino,Single,Male,Bacoor,Paid,0,False,15,monitoring,3.5
25-8798,Business Intelligence & Analytics (BSBA‑BIA),2002-02-16,Filipino,Single,Female,Rodriguez,With Balance,39320,False,15,,2.0
25-8790,Human Resource Management (BSBA‑HRM),2001-11-09,Filipino,Single,Male,Mandaluyong,Paid,0,False,18,,3.0
25-7525,Business Intelligence & Analytics (BSBA‑BIA),2003-10-27,Filipino,Single,Female,Pasay,Paid,0,False,15,,1.0
25-1879,Business Intelligence & Analytics (BSBA‑BIA),2001-06-20,Filipino,Single,Female,Muntinlupa,Paid,0,True,21,,3.5
25-4737,Human Resource Management (BSBA‑HRM),2006-07-06,Filipino,Single,Male,Cainta,Paid,0,False,15,advising,3.5
25-3527,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-02-03,Filipino,Single,Female,Marikina,Paid,0,False,24,,3.0
25-7685,Business Intelligence & Analytics (BSBA‑BIA),2005-09-03,Filipino,Single,Female,Manila,Paid,0,False,15,,3.0
25-4977,Cybersecurity (BSCSEC),2006-03-05,Filipino,Single,Male,Makati,Paid,0,False,21,,4.0
25-5123,Business Solutions & Applications (BSBA‑BSAA),2007-10-20,Filipino,Single,Female,Manila,Paid,0,False,24,,3.5
25-6484,Information Systems (BS‑IS),2002-05-11,Filipino,Single,Female,Muntinlupa,Paid,0,False,21,,3.0
25-9044,Cybersecurity (BSCSEC),2005-07-09,Filipino,Single,Male,Rodriguez,With Balance,15895,False,15,,3.5
25-4434,Information Systems (BS‑IS),2001-07-22,Filipino,Single,Male,Marikina,With Balance,35856,False,24,restrictions,3.5
25-7566,Cybersecurity (BSCSEC),2006-09-02,Filipino,Single,Male,Taguig,Paid,0,False,21,,3.0
25-7547,Human Resource Management (BSBA‑HRM),2006-02-01,Filipino,Single,Male,Navotas,Paid,0,False,18,,4.0
25-2712,Human Resource Management (BSBA‑HRM),2001-02-27,Filipino,Single,Female,Muntinlupa,Paid,0,False,24,,4.0
25-8412,Human Resource Management (BSBA‑HRM),2000-12-04,Filipino,Single,Male,Imus,With Balance,34264,False,18,,3.0
25-6422,Cybersecurity (BSCSEC),2007-04-26,Filipino,Single,Female,Pasay,Paid,0,True,18,,3.5
25-1072,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-12-26,Filipino,Single,Male,Parañaque,Paid,0,False,21,,3.5
25-6134,Cybersecurity (BSCSEC),2006-10-04,Filipino,Single,Male,Imus,Paid,0,False,15,,3.5
25-4908,Human Resource Management (BSBA‑HRM),2005-12-05,Filipino,Single,Male,Rodriguez,Paid,0,False,18,,3.5
25-3298,Business Solutions & Applications (BSBA‑BSAA),2007-10-02,Filipino,Single,Female,Pasig,Paid,0,False,24,,3.5
25-8272,Information Systems (BS‑IS),2000-04-10,Filipino,Single,Female,Mandaluyong,Paid,0,False,24,,4.0
25-2871,Human Resource Management (BSBA‑HRM),2005-09-27,Filipino,Single,Female,San Mateo,Paid,0,False,18,,1.0
25-8368,Human Resource Management (BSBA‑HRM),2001-08-28,American,Single,Male,Caloocan,Paid,0,False,21,,3.0
25-8015,Business Solutions & Applications (BSBA‑BSAA),2003-04-26,Filipino,Single,Female,Cainta,Paid,0,False,21,,3.5
25-9428,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-07-02,American,Single,Male,Pasig,With Balance,37147,False,18,,3.0
25-9019,Business Solutions & Applications (BSBA‑BSAA),2004-11-14,Filipino,Single,Male,Pasay,Paid,0,False,21,,3.5
25-1040,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-11-22,Filipino,Single,Female,Caloocan,With Balance,26210,False,21,,3.5
25-9967,Cybersecurity (BSCSEC),2007-06-22,Filipino,Single,Female,Manila,With Balance,24460,False,24,monitoring,4.0
25-3161,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-02-21,Filipino,Single,Male,Quezon City,Paid,0,False,18,,4.0
25-2559,Business Intelligence & Analytics (BSBA‑BIA),2001-03-19,Filipino,Single,Male,Manila,With Balance,38191,False,24,,3.5
25-4751,Information Systems (BS‑IS),2001-02-11,Filipino,Single,Female,Pasig,Paid,0,False,15,,4.0
25-3688,Information Systems (BS‑IS),2003-11-24,Filipino,Single,Female,Caloocan,Paid,0,True,15,advising,3.0
25-7291,Human Resource Management (BSBA‑HRM),2005-03-08,Filipino,Single,Female,Manila,Paid,0,False,21,,3.0
25-4090,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-04-16,Filipino,Single,Male,Antipolo,Paid,0,False,21,,4.0
25-7895,Human Resource Management (BSBA‑HRM),2002-08-25,Filipino,Single,Male,Marikina,With Balance,35863,False,24,,3.0
25-9209,Information Systems (BS‑IS),2006-02-21,Filipino,Single,Female,Makati,Paid,0,False,18,,4.0
25-6353,Information Systems (BS‑IS),2001-05-23,Filipino,Single,Male,Quezon City,With Balance,13800,False,24,,4.0
25-3877,Business Intelligence & Analytics (BSBA‑BIA),2002-12-01,Filipino,Single,Female,Mandaluyong,With Balance,38621,False,21,,4.0
25-1480,Human Resource Management (BSBA‑HRM),2004-09-03,Filipino,Married,Male,Malabon,Paid,0,False,24,,4.0
25-3577,Human Resource Management (BSBA‑HRM),2001-04-24,Filipino,Single,Male,San Juan,Paid,0,True,21,,4.0
25-1579,Cybersecurity (BSCSEC),2006-04-11,Filipino,Single,Female,Marikina,Paid,0,False,15,,2.0
25-3938,Business Solutions & Applications (BSBA‑BSAA),2000-07-03,Filipino,Single,Female,Muntinlupa,Paid,0,True,24,advising,3.5
25-5979,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-06-19,Japanese,Married,Male,San Mateo,Paid,0,False,15,,4.0
25-9872,Human Resource Management (BSBA‑HRM),2000-06-01,Filipino,Single,Female,Taguig,With Balance,23756,False,24,,1.0
25-3332,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-04-28,Filipino,Single,Female,Navotas,Paid,0,False,15,,3.0
25-7461,Business Intelligence & Analytics (BSBA‑BIA),2000-07-22,Korean,Single,Female,Muntinlupa,Paid,0,False,21,,3.5
25-2223,Business Solutions & Applications (BSBA‑BSAA),2001-03-04,Filipino,Single,Female,Taguig,With Balance,16803,False,24,,3.5
25-2481,Business Solutions & Applications (BSBA‑BSAA),2004-12-23,Filipino,Single,Female,Pasig,Paid,0,True,18,,3.5
25-1802,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-01-13,Filipino,Single,Male,Taguig,With Balance,14580,False,15,advising,4.0
25-7563,Human Resource Management (BSBA‑HRM),2001-10-19,Filipino,Single,Male,Makati,Paid,0,False,18,monitoring,4.0
25-8552,Business Intelligence & Analytics (BSBA‑BIA),2006-12-13,Filipino,Single,Female,Mandaluyong,With Balance,19010,False,21,,4.0
25-5026,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-09-16,Filipino,Single,Male,Valenzuela,With Balance,27229,False,18,,2.0
25-1319,Information Systems (BS‑IS),2005-08-18,Filipino,Single,Female,Pasay,Paid,0,False,18,monitoring,4.0
25-8728,Cybersecurity (BSCSEC),2003-03-04,Filipino,Single,Male,San Juan,With Balance,22727,False,21,,1.0
25-3846,Business Solutions & Applications (BSBA‑BSAA),2005-12-23,Filipino,Single,Female,Rodriguez,Paid,0,False,18,,2.0
25-9064,Cybersecurity (BSCSEC),2007-01-03,Filipino,Single,Male,Antipolo,Paid,0,False,18,,3.5
